position,country,matches,points,rating
1,India,54,14267,264
2,England,39,10117,259
3,New Zealand,46,11794,256
4,Pakistan,50,12719,254
5,South Africa,32,8080,253
6,Australia,31,7681,248
7,West Indies,36,8719,242
8,Sri Lanka,37,8774,237
9,Bangladesh,41,9192,224
10,Afghanistan,29,6260,216
11,Zimbabwe,36,7087,197
12,Ireland,42,8121,193
13,Namibia,17,3228,190
14,Scotland,18,3412,190
15,Netherlands,19,3445,181
16,UAE,17,3029,178
17,Nepal,14,2491,178
18,Hong Kong,14,2052,147
19,Canada,13,1871,144
20,Oman,13,1823,140
21,Papua New Guinea,18,2443,136
22,United States,9,1183,131
23,Uganda,42,5407,129
24,Jersey,19,2427,128
25,Malaysia,30,3806,127
26,Qatar,7,832,119
27,Kuwait,14,1648,118
28,Bahrain,27,2848,105
29,Kenya,30,3137,105
30,Tanzania,31,3151,102
31,Italy,17,1712,101
32,Bermuda,9,862,96
33,Germany,30,2868,96
34,Saudi Arabia,9,859,95
35,Spain,18,1649,92
36,Singapore,22,1850,84
37,Cayman Islands,7,521,74
38,Portugal,16,1167,73
39,Denmark,23,1622,71
40,Belgium,18,1237,69
41,Nigeria,15,1026,68
42,Guernsey,13,876,67
43,Isle of Man,15,949,63
44,Austria,29,1682,58
45,Norway,15,852,57
46,Vanuatu,15,846,56
47,Botswana,24,1300,54
48,Finland,18,953,53
49,Switzerland,16,835,52
50,Malawi,14,682,49
51,Czech Republic,24,1101,46
52,Japan,13,595,46
53,France,16,730,46
54,Sweden,18,759,42
55,Cook Islands,6,245,41
56,Romania,23,915,40
57,Indonesia,10,372,37
58,Mozambique,21,759,36
59,Malta,39,1394,36
60,Sierra Leone,12,421,35
61,Ghana,16,516,32
62,Rwanda,38,1171,31
63,Argentina,9,274,30
64,Fiji,10,304,30
65,Bhutan,11,325,30
66,Luxembourg,28,819,29
67,Philippines,10,258,26
68,Cyprus,8,206,26
69,Bahamas,10,241,24
70,Panama,7,160,23
71,Belize,3,66,22
72,Serbia,17,351,21
73,Hungary,19,367,19
74,Thailand,12,194,16
75,Bulgaria,30,289,10
76,Lesotho,9,82,9
77,Gibraltar,24,191,8
78,Gambia,7,50,7
79,Turkey,7,26,4
80,Maldives,8,25,3
81,Cameroon,11,0,0
82,Estonia,9,0,0
83,Eswatini,18,0,0
84,Seychelles,7,0,0
85,Samoa,9,0,0
86,Greece,6,0,0
87,Croatia,10,0,0
